Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
270000	0.085832	2	5.791020	20.696698	5.791020	5.791020	5.791020	5.791020	5.791020	
271000	0.085832	2	5.217314	18.648836	5.217314	5.217314	5.217314	5.217314	5.217314	
272000	0.085832	2	5.651091	19.733226	5.651091	5.651091	5.651091	5.651091	5.651091	
273000	0.085832	2	5.282312	18.468544	5.282312	5.282312	5.282312	5.282312	5.282312	
274000	0.085832	2	5.664620	17.328559	5.664620	5.664620	5.664620	5.664620	5.664620	
275000	0.085832	2	5.440148	19.250442	5.440148	5.440148	5.440148	5.440148	5.440148	
276000	0.085832	2	6.124084	18.865727	6.124084	6.124084	6.124084	6.124084	6.124084	
277000	0.085832	2	5.396526	18.791748	5.396526	5.396526	5.396526	5.396526	5.396526	
278000	0.085832	2	5.561343	19.220797	5.561343	5.561343	5.561343	5.561343	5.561343	
279000	0.085832	2	5.668083	17.737642	5.668083	5.668083	5.668083	5.668083	5.668083	
280000	0.085832	2	5.515912	18.604270	5.515912	5.515912	5.515912	5.515912	5.515912	
281000	0.085832	2	5.468199	18.905784	5.468199	5.468199	5.468199	5.468199	5.468199	
282000	0.085832	2	5.611900	16.302792	5.611900	5.611900	5.611900	5.611900	5.611900	
283000	0.085832	2	5.363069	17.131011	5.363069	5.363069	5.363069	5.363069	5.363069	
284000	0.085832	2	5.590662	17.329956	5.590662	5.590662	5.590662	5.590662	5.590662	
285000	0.085832	2	5.150566	16.578026	5.150566	5.150566	5.150566	5.150566	5.150566	
286000	0.085832	2	5.425741	18.498865	5.425741	5.425741	5.425741	5.425741	5.425741	
287000	0.085832	2	5.657503	17.785826	5.657503	5.657503	5.657503	5.657503	5.657503	
288000	0.085832	2	5.483229	19.653868	5.483229	5.483229	5.483229	5.483229	5.483229	
289000	0.085832	2	5.939801	20.631724	5.939801	5.939801	5.939801	5.939801	5.939801	
290000	0.085832	2	5.563180	17.571534	5.563180	5.563180	5.563180	5.563180	5.563180	
291000	0.085832	2	5.223484	17.320722	5.223484	5.223484	5.223484	5.223484	5.223484	
292000	0.085832	2	5.133714	17.789817	5.133714	5.133714	5.133714	5.133714	5.133714	
293000	0.085832	2	5.400129	15.877930	5.400129	5.400129	5.400129	5.400129	5.400129	
294000	0.085832	2	5.237100	22.694421	5.237100	5.237100	5.237100	5.237100	5.237100	
295000	0.085832	2	5.551205	17.170653	5.551205	5.551205	5.551205	5.551205	5.551205	
296000	0.085832	2	5.518855	19.393200	5.518855	5.518855	5.518855	5.518855	5.518855	
