Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
1930000	48.111915	5	13.425135	5.143536	31.113907	5.143536	5.143536	5.143536	31.113907	5.143536	12.783480	11.605247	5.143536	
1931000	48.111915	5	27.540459	5.538553	27.540459	5.538553	5.538553	5.538553	27.540459	5.538553	11.696501	10.026619	12.349512	
1932000	48.111915	4	29.239082	5.292518	29.239082	5.292518	5.292518	5.292518	29.239082	5.292518	10.373622	9.505506	5.292518	
1933000	48.111915	5	16.140374	4.879658	16.140374	4.879658	4.879658	4.879658	16.140374	4.879658	12.308234	10.365401	10.537863	
1934000	48.111915	4	18.409045	5.530961	18.409045	5.530961	5.530961	5.530961	18.409045	5.530961	11.446077	11.778050	5.530961	
1935000	48.111915	4	26.941231	5.517862	26.941231	5.517862	5.517862	5.517862	26.941231	5.517862	10.868466	10.868466	10.768469	
1936000	48.111915	5	31.063703	5.667139	31.063703	5.667139	5.667139	5.667139	31.063703	5.667139	11.779367	11.049084	11.933740	
1937000	48.111915	5	31.745330	5.425201	31.745330	5.425201	5.425201	5.425201	31.745330	5.425201	10.503520	11.109962	11.517891	
1938000	48.111915	6	12.597585	5.551305	28.081431	5.551305	5.551305	5.551305	28.081431	5.551305	13.101924	11.177123	10.292951	
1939000	48.111915	5	12.471259	5.164748	31.543302	5.164748	5.164748	5.164748	31.543302	5.164748	11.679900	10.781044	5.164748	
1940000	48.111915	5	25.375620	5.394972	25.375620	5.394972	5.394972	5.394972	25.375620	5.394972	10.737672	10.372483	12.641462	
1941000	48.111915	6	13.048880	5.057888	29.403101	5.057888	5.057888	5.057888	29.403101	5.057888	12.528485	9.555981	8.691160	
1942000	48.111915	6	12.756528	5.365754	31.042451	5.365754	5.365754	5.365754	31.042451	5.365754	11.748288	9.850637	11.892767	
1943000	48.111915	5	13.285219	6.141371	30.413538	6.141371	6.141371	6.141371	30.413538	6.141371	11.346945	9.937985	6.141371	
1944000	48.111915	5	14.574817	5.834200	14.574817	5.834200	5.834200	5.834200	14.574817	5.834200	10.928024	11.943398	11.045296	
1945000	48.111915	5	21.040682	5.373321	21.040682	5.373321	5.373321	5.373321	21.040682	5.373321	11.630913	10.045855	12.842399	
1946000	48.111915	5	12.320515	5.595947	26.973337	5.595947	5.595947	5.595947	26.973337	5.595947	12.259179	9.832243	5.595947	
1947000	48.111915	5	13.055673	5.830164	31.536591	5.830164	5.830164	5.830164	31.536591	9.411457	10.658319	9.411457	9.411457	
1948000	48.111915	6	13.126355	5.816874	27.235460	5.816874	5.816874	5.816874	27.235460	5.816874	10.561638	9.397218	10.373690	
1949000	48.111915	5	14.178964	6.013011	28.551812	6.013011	6.013011	6.013011	28.551812	6.013011	14.178964	9.768939	10.504294	
1950000	48.111915	5	28.551965	5.683393	28.551965	5.683393	5.683393	5.683393	28.551965	5.683393	11.792787	11.212926	10.831450	
1951000	48.111915	5	27.045517	4.667442	27.045517	4.667442	4.667442	4.667442	27.045517	4.667442	11.918947	8.778323	11.877778	
1952000	48.111915	5	25.814016	5.221872	25.814016	5.221872	5.221872	5.221872	25.814016	5.221872	10.261176	9.897560	11.695758	
1953000	48.111915	5	29.413897	5.452896	29.413897	5.452896	5.452896	5.452896	29.413897	5.452896	12.045841	10.475179	12.232920	
1954000	48.111915	6	14.135945	5.689798	29.004571	5.689798	5.689798	5.689798	29.004571	5.689798	11.171124	12.205069	10.367217	
1955000	48.111915	5	12.588588	5.024172	27.410986	5.024172	5.024172	5.024172	27.410986	5.024172	11.452728	11.966765	5.024172	
1956000	48.111915	4	12.571911	4.681357	27.549281	4.681357	4.681357	4.681357	27.549281	4.681357	10.919152	10.919152	4.681357	
1957000	48.111915	6	12.832642	5.457677	31.147064	5.457677	5.457677	5.457677	31.147064	5.457677	11.512370	9.078276	12.921703	
1958000	48.111915	5	12.407553	5.727236	28.978493	5.727236	5.727236	5.727236	28.978493	5.727236	10.953987	10.807924	5.727236	
1959000	48.111915	5	12.255354	4.964996	28.186503	4.964996	4.964996	4.964996	28.186503	4.964996	10.962764	10.985564	4.964996	
