Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1903000	0.092720	3	0.100844	0.401646	0.395862	0.101648	0.239417	0.251080	0.257805	0.251698	0.407902	0.102584	0.099282	0.390232	0.100844	0.401646	0.395862	0.101648	0.239417	0.251080	0.257805	0.251698	0.407902	0.102584	0.099282	0.390232	
1904000	0.092720	3	0.100844	0.401646	0.395862	0.101648	0.242609	0.252621	0.239584	0.265186	0.390599	0.101163	0.101225	0.407013	0.100844	0.401646	0.395862	0.101648	0.242609	0.252621	0.239584	0.265186	0.390599	0.101163	0.101225	0.407013	
1905000	0.092720	3	0.106446	0.392256	0.397110	0.104188	0.260348	0.254078	0.252156	0.233418	0.390599	0.101163	0.101225	0.407013	0.106446	0.392256	0.397110	0.104188	0.260348	0.254078	0.252156	0.233418	0.390599	0.101163	0.101225	0.407013	
1906000	0.092720	3	0.096755	0.392142	0.400167	0.110936	0.253138	0.252821	0.245093	0.248949	0.392765	0.103564	0.101317	0.402354	0.096755	0.392142	0.400167	0.110936	0.253138	0.252821	0.245093	0.248949	0.392765	0.103564	0.101317	0.402354	
1907000	0.092720	3	0.101569	0.380554	0.404200	0.113678	0.240881	0.263039	0.250437	0.245643	0.396481	0.102337	0.100867	0.400314	0.101569	0.380554	0.404200	0.113678	0.240881	0.263039	0.250437	0.245643	0.396481	0.102337	0.100867	0.400314	
1908000	0.092720	3	0.101341	0.400357	0.391706	0.106597	0.255822	0.258956	0.248020	0.237202	0.396481	0.102337	0.100867	0.400314	0.101341	0.400357	0.391706	0.106597	0.255822	0.258956	0.248020	0.237202	0.396481	0.102337	0.100867	0.400314	
1909000	0.092720	3	0.101341	0.400357	0.391706	0.106597	0.251612	0.265213	0.236628	0.246547	0.398855	0.099728	0.101595	0.399822	0.101341	0.400357	0.391706	0.106597	0.251612	0.265213	0.236628	0.246547	0.398855	0.099728	0.101595	0.399822	
1910000	0.092720	3	0.106246	0.382861	0.405829	0.105064	0.238385	0.264060	0.239925	0.257630	0.398855	0.099728	0.101595	0.399822	0.106246	0.382861	0.405829	0.105064	0.238385	0.264060	0.239925	0.257630	0.398855	0.099728	0.101595	0.399822	
1911000	0.092720	3	0.100192	0.392685	0.402788	0.104335	0.235589	0.262347	0.249123	0.252941	0.398855	0.099728	0.101595	0.399822	0.100192	0.392685	0.402788	0.104335	0.235589	0.262347	0.249123	0.252941	0.398855	0.099728	0.101595	0.399822	
1912000	0.092720	3	0.102848	0.397471	0.402174	0.097507	0.238394	0.247911	0.261048	0.252647	0.398855	0.099728	0.101595	0.399822	0.102848	0.397471	0.402174	0.097507	0.238394	0.247911	0.261048	0.252647	0.398855	0.099728	0.101595	0.399822	
1913000	0.092720	3	0.098198	0.393923	0.406610	0.101269	0.251433	0.264044	0.246910	0.237613	0.398576	0.105092	0.102728	0.393604	0.098198	0.393923	0.406610	0.101269	0.251433	0.264044	0.246910	0.237613	0.398576	0.105092	0.102728	0.393604	
