Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
196000	1.137478	2	7.917589	7.917589	7.917589	47.654843	7.917589	7.917589	7.917589	7.917589	47.654843	
197000	1.137478	2	7.763689	7.763689	7.763689	46.777809	7.763689	7.763689	7.763689	7.763689	46.777809	
198000	1.137478	2	7.717513	7.717513	7.717513	48.069668	7.717513	7.717513	7.717513	7.717513	48.069668	
199000	1.137478	2	8.102015	8.102015	8.102015	46.556815	8.102015	8.102015	8.102015	8.102015	46.556815	
200000	1.137478	2	7.365305	7.365305	7.365305	47.309063	7.365305	7.365305	7.365305	7.365305	47.309063	
201000	1.137478	2	7.349431	7.349431	7.349431	47.572815	7.349431	7.349431	7.349431	7.349431	47.572815	
202000	1.137478	2	7.490185	7.490185	7.490185	46.011855	7.490185	7.490185	7.490185	7.490185	46.011855	
203000	1.137478	2	7.227160	7.227160	7.227160	48.410503	7.227160	7.227160	7.227160	7.227160	48.410503	
204000	1.137478	2	7.076639	7.076639	7.076639	48.559851	7.076639	7.076639	7.076639	7.076639	48.559851	
205000	1.137478	2	7.311315	7.311315	7.311315	46.560272	7.311315	7.311315	7.311315	7.311315	46.560272	
206000	1.137478	2	7.216894	7.216894	7.216894	47.809454	7.216894	7.216894	7.216894	7.216894	47.809454	
207000	1.137478	2	7.038231	7.038231	7.038231	46.252423	7.038231	7.038231	7.038231	7.038231	46.252423	
208000	1.137478	2	7.514791	7.514791	7.514791	48.923709	7.514791	7.514791	7.514791	7.514791	48.923709	
209000	1.137478	2	7.385174	7.385174	7.385174	48.156163	7.385174	7.385174	7.385174	7.385174	48.156163	
210000	1.137478	2	7.105817	7.105817	7.105817	47.708454	7.105817	7.105817	7.105817	7.105817	47.708454	
211000	1.137478	2	7.661000	7.661000	7.661000	51.069778	7.661000	7.661000	7.661000	7.661000	51.069778	
212000	1.137478	2	7.441611	7.441611	7.441611	48.070583	7.441611	7.441611	7.441611	7.441611	48.070583	
213000	1.137478	2	7.774774	7.774774	7.774774	49.338810	7.774774	7.774774	7.774774	7.774774	49.338810	
214000	1.137478	2	7.598001	7.598001	7.598001	46.003922	7.598001	7.598001	7.598001	7.598001	46.003922	
215000	1.137478	2	7.780369	7.780369	7.780369	48.373177	7.780369	7.780369	7.780369	7.780369	48.373177	
216000	1.137478	2	7.162348	7.162348	7.162348	46.592790	7.162348	7.162348	7.162348	7.162348	46.592790	
217000	1.137478	2	7.488567	7.488567	7.488567	48.699564	7.488567	7.488567	7.488567	7.488567	48.699564	
218000	1.137478	2	7.582208	7.582208	7.582208	48.681689	7.582208	7.582208	7.582208	7.582208	48.681689	
219000	1.137478	2	7.704025	7.704025	7.704025	46.632729	7.704025	7.704025	7.704025	7.704025	46.632729	
220000	1.137478	2	7.202011	7.202011	7.202011	47.155481	7.202011	7.202011	7.202011	7.202011	47.155481	
221000	1.137478	2	7.476449	7.476449	7.476449	48.377511	7.476449	7.476449	7.476449	7.476449	48.377511	
222000	1.137478	2	7.379816	7.379816	7.379816	47.006350	7.379816	7.379816	7.379816	7.379816	47.006350	
223000	1.137478	2	7.499487	7.499487	7.499487	48.115244	7.499487	7.499487	7.499487	7.499487	48.115244	
224000	1.137478	2	7.602128	7.602128	7.602128	48.725558	7.602128	7.602128	7.602128	7.602128	48.725558	
225000	1.137478	2	6.952453	6.952453	6.952453	47.114208	6.952453	6.952453	6.952453	6.952453	47.114208	
226000	1.137478	2	7.474253	7.474253	7.474253	47.857251	7.474253	7.474253	7.474253	7.474253	47.857251	
227000	1.137478	2	7.499401	7.499401	7.499401	47.648179	7.499401	7.499401	7.499401	7.499401	47.648179	
228000	1.137478	2	7.447519	7.447519	7.447519	47.397518	7.447519	7.447519	7.447519	7.447519	47.397518	
229000	1.137478	2	7.786566	7.786566	7.786566	48.462730	7.786566	7.786566	7.786566	7.786566	48.462730	
230000	1.137478	2	7.844018	7.844018	7.844018	46.731120	7.844018	7.844018	7.844018	7.844018	46.731120	
231000	1.137478	2	7.732667	7.732667	7.732667	48.041289	7.732667	7.732667	7.732667	7.732667	48.041289	
232000	1.137478	2	7.398193	7.398193	7.398193	47.115418	7.398193	7.398193	7.398193	7.398193	47.115418	
233000	1.137478	2	7.067699	7.067699	7.067699	48.422078	7.067699	7.067699	7.067699	7.067699	48.422078	
234000	1.137478	2	8.082387	8.082387	8.082387	47.077473	8.082387	8.082387	8.082387	8.082387	47.077473	
235000	1.137478	2	7.220225	7.220225	7.220225	48.059483	7.220225	7.220225	7.220225	7.220225	48.059483	
236000	1.137478	2	7.719891	7.719891	7.719891	49.897045	7.719891	7.719891	7.719891	7.719891	49.897045	
237000	1.137478	2	7.418670	7.418670	7.418670	48.470547	7.418670	7.418670	7.418670	7.418670	48.470547	
238000	1.137478	2	7.633394	7.633394	7.633394	46.403342	7.633394	7.633394	7.633394	7.633394	46.403342	
239000	1.137478	2	7.192513	7.192513	7.192513	45.698673	7.192513	7.192513	7.192513	7.192513	45.698673	
240000	1.137478	2	7.462312	7.462312	7.462312	49.795679	7.462312	7.462312	7.462312	7.462312	49.795679	
241000	1.137478	2	7.193010	7.193010	7.193010	50.200282	7.193010	7.193010	7.193010	7.193010	50.200282	
242000	1.137478	2	7.208054	7.208054	7.208054	48.293852	7.208054	7.208054	7.208054	7.208054	48.293852	
