Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
6156000	1.137478	5	0.267042	0.267042	0.229285	3.148359	0.308603	0.454175	0.267042	0.229285	3.148359	
6157000	1.137478	4	0.264584	0.264584	0.264584	2.923024	0.494884	0.494884	0.240162	0.240162	2.923024	
6158000	1.137478	4	0.231221	0.231221	0.231221	2.701548	0.466446	0.507450	0.231221	0.231221	2.701548	
6159000	1.137478	3	0.243122	0.243122	0.243122	2.685078	0.529978	0.529978	0.243122	0.243122	2.685078	
6160000	1.137478	4	0.240821	0.240821	0.240821	3.402348	0.485410	0.485410	0.240821	0.240821	1.791545	
6161000	1.137478	4	0.247673	0.247673	0.247673	2.945771	0.608476	0.608476	0.247673	0.138186	2.945771	
6162000	1.137478	3	0.239491	0.239491	0.239491	2.823556	0.446964	0.446964	0.239491	0.239491	2.823556	
6163000	1.137478	4	0.244756	0.238383	0.238383	1.808826	0.415159	0.415159	0.244756	0.238383	1.808826	
6164000	1.137478	5	0.231469	0.293035	0.231469	2.894172	0.449910	0.493286	0.231469	0.231469	2.894172	
6165000	1.137478	6	0.248525	0.248525	0.248525	3.618291	0.478369	0.524204	0.248525	0.184889	2.408746	
6166000	1.137478	3	0.238987	0.238987	0.238987	2.686991	0.336344	0.336344	0.238987	0.238987	2.686991	
6167000	1.137478	3	0.252722	0.252722	0.252722	2.845963	0.492785	0.492785	0.252722	0.252722	2.845963	
6168000	1.137478	3	0.242611	0.242611	0.242611	2.999110	0.498607	0.498607	0.242611	0.242611	2.999110	
6169000	1.137478	3	0.238416	0.238416	0.238416	2.860927	0.491692	0.491692	0.238416	0.238416	2.860927	
6170000	1.137478	5	0.243938	0.243938	0.243938	2.258041	0.403225	0.493923	0.243938	0.190836	2.258041	
6171000	1.137478	3	0.235982	0.235982	0.235982	2.408891	0.560445	0.560445	0.235982	0.235982	2.408891	
6172000	1.137478	5	0.236740	0.282781	0.236740	1.966786	0.353611	0.360419	0.236740	0.236740	1.966786	
6173000	1.137478	4	0.236348	0.236348	0.236348	2.346194	0.353777	0.353777	0.236348	0.154216	2.346194	
6174000	1.137478	5	0.245000	0.245000	0.245000	2.304921	0.416835	0.431032	0.245000	0.223908	2.304921	
6175000	1.137478	4	0.234566	0.234566	0.234566	2.765940	0.388318	0.388318	0.234566	0.157283	2.765940	
6176000	1.137478	4	0.236911	0.236911	0.236911	2.956598	0.399654	0.626160	0.236911	0.236911	2.956598	
6177000	1.137478	3	0.237935	0.237935	0.237935	2.975824	0.465031	0.465031	0.237935	0.237935	2.975824	
6178000	1.137478	5	0.224099	0.224099	0.242785	2.701594	0.443402	0.443402	0.242785	0.167269	2.701594	
6179000	1.137478	3	0.237601	0.237601	0.237601	2.527124	0.502070	0.502070	0.237601	0.237601	2.527124	
6180000	1.137478	5	0.244965	0.244965	0.244965	3.012657	0.503646	0.543628	0.244965	0.195794	3.012657	
