Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
5535000	0.879386	1	0.280875	0.237354	0.198576	0.283195	0.280875	0.237354	0.198576	0.283195	0.280875	0.237354	0.198576	0.283195	0.280875	0.237354	0.198576	0.283195	
5536000	0.879386	1	0.309798	0.224247	0.194026	0.271928	0.309798	0.224247	0.194026	0.271928	0.309798	0.224247	0.194026	0.271928	0.309798	0.224247	0.194026	0.271928	
5537000	0.879386	2	0.222618	0.282580	0.181663	0.313139	0.222618	0.282580	0.181663	0.313139	0.314090	0.197473	0.216511	0.271926	0.314090	0.197473	0.216511	0.271926	
5538000	0.879386	1	0.293267	0.225025	0.197079	0.284628	0.293267	0.225025	0.197079	0.284628	0.293267	0.225025	0.197079	0.284628	0.293267	0.225025	0.197079	0.284628	
5539000	0.879386	2	0.287090	0.212965	0.219156	0.280789	0.287090	0.212965	0.219156	0.280789	0.316249	0.194769	0.204165	0.284816	0.316249	0.194769	0.204165	0.284816	
5540000	0.879386	1	0.269056	0.261186	0.186323	0.283434	0.269056	0.261186	0.186323	0.283434	0.269056	0.261186	0.186323	0.283434	0.269056	0.261186	0.186323	0.283434	
5541000	0.879386	1	0.287429	0.217796	0.198078	0.296696	0.287429	0.217796	0.198078	0.296696	0.287429	0.217796	0.198078	0.296696	0.287429	0.217796	0.198078	0.296696	
5542000	0.879386	1	0.287643	0.220846	0.193348	0.298163	0.287643	0.220846	0.193348	0.298163	0.287643	0.220846	0.193348	0.298163	0.287643	0.220846	0.193348	0.298163	
5543000	0.879386	1	0.326246	0.191989	0.194807	0.286958	0.326246	0.191989	0.194807	0.286958	0.326246	0.191989	0.194807	0.286958	0.326246	0.191989	0.194807	0.286958	
5544000	0.879386	1	0.271992	0.204976	0.237998	0.285034	0.271992	0.204976	0.237998	0.285034	0.271992	0.204976	0.237998	0.285034	0.271992	0.204976	0.237998	0.285034	
